Iteration,V-variation
1,0.333333333
2,0.1
3,0.06
4,0.045
5,0.0324
6,0.0243
7,0.018468
8,0.0143613
9,0.01176606
10,0.009789012
11,0.008223557
12,0.006894561
13,0.005826011
14,0.00493799
15,0.004256439
16,0.003701409
17,0.003192955
18,0.002773551
19,0.002443568
20,0.002149805
21,0.001895872
22,0.001675793
23,0.00149522
24,0.001340881
25,0.001204271
26,0.001077469
27,0.000963563
28,0.000859577
29,0.000764514
30,0.000678707
31,0.000601187
32,0.000532561
33,0.000472424
34,0.000418168
35,0.000369743
36,0.000326385
37,0.000287874
38,0.000253587
39,0.000223243
40,0.00019634
41,0.000173303
42,0.000153873
43,0.000136494
44,0.000121074
45,0.000108139
